Cabinet,Dept,Program,Expense Category,FY18 Actual,FY19 Actual,20 Budget,21 Budget
Mayors Cabinet,Mayor's Office,Mayor's Administration,Personnel Services,"1,185,285","1,400,773","1,529,111","1,845,647"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Contractual Services,"179,041","85,769","83,334","74,334"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Supplies & Materials,"53,822","37,539","37,183","37,183"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Current Charges & Obligations,"7,543","8,801","7,213","7,213"
Mayors Cabinet,Mayor's Office,Mayor's Administration,Equipment,"17,709","17,273","25,000","25,000"
Mayors Cabinet,Mayor's Office,Mayor's Executive,Personnel Services,"290,674","424,842","442,035","451,211"
Mayors Cabinet,Mayor's Office,Mayor's Executive,Contractual Services, -   , -   ,"16,394","8,283"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Personnel Services,"1,379,993","1,493,172","1,526,774","1,273,099"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Contractual Services,"56,034","29,898","270,500","392,500"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Supplies & Materials,"2,298","10,966","6,500","6,500"
Mayors Cabinet,Mayor's Office,Mayor's Policy & Planning,Current Charges & Obligations, -   , -   ,"17,000","17,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Personnel Services,"370,624","390,688","560,559","484,854"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Contractual Services,"3,649","32,422","31,800","28,800"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Supplies & Materials, -   ,"3,525","5,000","5,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Current Charges & Obligations,"5,638", -   ,"6,000","6,000"
Mayors Cabinet,Mayor's Office,New Urban Mechanics,Equipment,"1,071","1,688", -   , -   
Mayors Cabinet,Mayor's Office,Mayor's Communications,Personnel Services,"600,052","545,064","739,656","751,707"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Contractual Services,"21,770","71,312","9,950","9,950"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Supplies & Materials,"1,473","1,206","4,550","2,216"
Mayors Cabinet,Mayor's Office,Mayor's Communications,Current Charges & Obligations,"1,437","1,340","12,855","12,855"
Mayors Cabinet,Election Department,Election Administration,Personnel Services,"576,463","655,553","733,359","680,557"
Mayors Cabinet,Election Department,Election Administration,Contractual Services,"96,231","142,865","38,950","138,950"
Mayors Cabinet,Election Department,Election Administration,Supplies & Materials,"60,929","43,543","51,718","54,000"
Mayors Cabinet,Election Department,Election Administration,Current Charges & Obligations,216,"2,313","3,200","3,200"
Mayors Cabinet,Election Department,Election Administration,Equipment,"6,275","174,673","336,795","361,745"
Mayors Cabinet,Election Department,Voter Registration,Personnel Services,"341,845","364,052","385,903","394,463"
Mayors Cabinet,Election Department,Voter Registration,Contractual Services,605,"1,020","8,100",400
Mayors Cabinet,Election Department,Voter Registration,Supplies & Materials,"25,661","27,349","20,500","25,500"
Mayors Cabinet,Election Department,Election Activities,Personnel Services,"1,676,788","1,792,945","2,302,547","2,165,500"
Mayors Cabinet,Election Department,Election Activities,Contractual Services,"430,108","221,255","689,400","353,400"
Mayors Cabinet,Election Department,Election Activities,Supplies & Materials,"99,598","218,671","183,000","306,000"
Mayors Cabinet,Election Department,Election Activities,Current Charges & Obligations,"89,335","80,822","175,500","150,500"
Mayors Cabinet,Election Department,Annual Listing,Personnel Services,"290,843","283,916","349,124","376,487"
Mayors Cabinet,Election Department,Annual Listing,Contractual Services,"21,620","18,248","28,600","32,400"
Mayors Cabinet,Election Department,Annual Listing,Supplies & Materials,"189,361","178,465","217,500","219,000"
Mayors Cabinet,Intergovernmental Relations,IGR,Personnel Services,"737,451","802,025","980,210","1,022,156"
Mayors Cabinet,Intergovernmental Relations,IGR,Contractual Services,"166,177","189,168","241,939","187,673"
Mayors Cabinet,Intergovernmental Relations,IGR,Supplies & Materials,"4,523","7,108","56,200","6,200"
Mayors Cabinet,Intergovernmental Relations,IGR,Current Charges & Obligations,"185,592","186,417","192,350","192,830"
Mayors Cabinet,Intergovernmental Relations,IGR,Equipment, -   ,575, -   , -   
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Personnel Services,"103,061","105,787","108,982","108,468"
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Contractual Services,302,302, -   , -   
Mayors Cabinet,Intergovernmental Relations,Grants Administration,Current Charges & Obligations,330,330,330,330
Mayors Cabinet,Law Department,Law Operations,Personnel Services,"1,124,658","862,712","1,083,020","893,657"
Mayors Cabinet,Law Department,Law Operations,Contractual Services,"181,371","288,801","150,543","361,225"
Mayors Cabinet,Law Department,Law Operations,Supplies & Materials,"14,246","13,632","19,725","23,675"
Mayors Cabinet,Law Department,Law Operations,Current Charges & Obligations,"35,461","24,958","18,350","23,227"
Mayors Cabinet,Law Department,Law Operations,Equipment,"300,000", -   , -   , -   
Mayors Cabinet,Law Department,Litigation,Personnel Services,"902,915","941,883","1,154,803","1,295,178"
Mayors Cabinet,Law Department,Litigation,Contractual Services,"1,402,935","1,318,403","1,573,635","1,589,225"
Mayors Cabinet,Law Department,Litigation,Supplies & Materials,295,264,"1,000","4,200"
Mayors Cabinet,Law Department,Litigation,Current Charges & Obligations,"17,458","26,919","33,550","33,491"
Mayors Cabinet,Law Department,Government Services,Personnel Services,"2,224,303","2,910,339","3,921,277","3,923,930"
Mayors Cabinet,Law Department,Government Services,Contractual Services,"270,624","67,215","323,763","294,755"
Mayors Cabinet,Law Department,Government Services,Supplies & Materials,"2,134","2,299","2,600","8,278"
Mayors Cabinet,Law Department,Government Services,Current Charges & Obligations,"27,023","21,595","95,100","82,867"
Mayors Cabinet,Human Right Commission,Human Rights,Personnel Services, -   , -   , -   ,"228,346"
Mayors Cabinet,Human Right Commission,Human Rights,Contractual Services, -   , -   , -   ,"10,400"
Mayors Cabinet,Human Right Commission,Human Rights,Supplies & Materials, -   , -   , -   ,"1,000"
Mayors Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations, -   , -   , -   ,"11,000"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Personnel Services,"241,411","255,380","293,644","302,673"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Contractual Services,201,"1,302","51,425","159,125"
Mayors Cabinet,Women's Advancement,Women's Commission Program,Supplies & Materials,52,414,900,800
Mayors Cabinet,Women's Advancement,Women's Commission Program,Current Charges & Obligations,286,140,219,219
Mayors Cabinet,Women's Advancement,Women's Commission Program,Equipment,750, -   , -   , -   
Operations,Property Management Department,PM Administration,Personnel Services,"1,926,736","1,754,757","1,702,002","2,961,597"
Operations,Property Management Department,PM Administration,Contractual Services,"251,398","141,212","98,398","90,898"
Operations,Property Management Department,PM Administration,Supplies & Materials,"32,649","27,956","7,400","27,775"
Operations,Property Management Department,PM Administration,Current Charges & Obligations,"64,410","123,771","103,900","73,670"
Operations,Property Management Department,PM Administration,Equipment, -   , -   , -   , -   
Operations,Property Management Department,Building Operations,Personnel Services,"1,431,585","1,572,728","1,752,561","1,631,351"
Operations,Property Management Department,Building Operations,Contractual Services,"5,749,635","6,128,280","6,726,672","6,632,652"
Operations,Property Management Department,Building Operations,Supplies & Materials,"151,681","145,519","176,841","140,000"
Operations,Property Management Department,Building Operations,Current Charges & Obligations,"9,303","10,469","7,000","37,000"
Operations,Property Management Department,Building Operations,Equipment,"38,099","50,060","61,148","54,702"
Operations,Property Management Department,Alterations & Repair,Personnel Services,"692,078","725,511","747,854","721,591"
Operations,Property Management Department,Alterations & Repair,Contractual Services,"1,776,441","3,223,502","1,468,954","718,954"
Operations,Property Management Department,Alterations & Repair,Supplies & Materials,"61,323","78,952","69,965","69,965"
Operations,Property Management Department,Alterations & Repair,Current Charges & Obligations, -   ,510, -   , -   
Operations,Property Management Department,Alterations & Repair,Equipment,"105,041","7,950", -   , -   
Operations,Property Management Department,Enforcement,Personnel Services,"2,486,008","2,622,679","2,333,965","1,102,968"
Operations,Property Management Department,Enforcement,Contractual Services,"209,467","107,187","95,464","88,464"
Operations,Property Management Department,Enforcement,Supplies & Materials,"97,959","66,974","80,220","100,703"
Operations,Property Management Department,Enforcement,Current Charges & Obligations,"6,627","6,034","8,000","8,000"
Operations,Property Management Department,Enforcement,Equipment,"52,656","22,611","5,000","15,408"
Operations,Property Management Department,Security Systems,Personnel Services,"777,158","683,578","745,944","671,833"
Operations,Property Management Department,Security Systems,Contractual Services,"4,967","7,315","16,000","15,700"
Operations,Property Management Department,Security Systems,Supplies & Materials,"19,042","15,734","20,130","20,130"
Operations,Property Management Department,Security Systems,Current Charges & Obligations,977,225,900,900
Operations,Property Management Department,Security Systems,Equipment,"10,356","20,550","20,066","13,534"
Operations,Property Management Department,Animal Control History,Contractual Services, -   , -   , -   , -   
Operations,Property Management Department,Animal Control History,Supplies & Materials, -   , -   , -   , -   
Operations,Property Management Department,Building Systems,Personnel Services,"733,213","791,331","889,315","816,674"
